"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"	"cell.type"	"class"
2.71962295559149e-09	-0.468248280675619	1	1	5.47677670797014e-05	"Rps14"	"endothelial cell"	"3m.vs.1m"
2.93679702170112e-09	0.646619849236476	0.712	0.531	5.91412184230172e-05	"Tuba1a"	"endothelial cell"	"3m.vs.1m"
3.18413211281096e-09	-2.79170312983338	0.119	0.313	6.41220524877872e-05	"Stc1"	"endothelial cell"	"3m.vs.1m"
2.04120628365557e-08	-0.620790832024883	0.513	0.726	0.000411058121402558	"Pdia3"	"endothelial cell"	"3m.vs.1m"
2.15417163944506e-08	-0.619943240350776	0.783	0.862	0.000433807084751447	"Litaf"	"endothelial cell"	"3m.vs.1m"
2.18612823810207e-08	-0.68280290662951	0.575	0.749	0.000440242504588996	"Ppic"	"endothelial cell"	"3m.vs.1m"
2.81666600434303e-08	-0.426224571069823	0.987	1	0.0005672201999546	"Rplp0"	"endothelial cell"	"3m.vs.1m"
3.04976775677216e-08	0.424555280396131	0.929	0.866	0.000614162230858778	"Ly6a"	"endothelial cell"	"3m.vs.1m"
3.37532750559802e-08	0.581796257668678	0.752	0.595	0.000679723453077328	"Cox5b"	"endothelial cell"	"3m.vs.1m"
4.11560491021014e-08	1.2400633411542	0.358	0.185	0.000828800516818118	"Cxx1b"	"endothelial cell"	"3m.vs.1m"
4.47526827511624e-08	1.39758344892737	0.558	0.414	0.000901229525242908	"Timp4"	"endothelial cell"	"3m.vs.1m"
5.9271571971773e-08	-0.469151267702917	0.77	0.914	0.00119361091636756	"Timp3"	"endothelial cell"	"3m.vs.1m"
7.24017288891394e-08	-0.574574722564212	0.487	0.677	0.00145802601636949	"Bhlhe40"	"endothelial cell"	"3m.vs.1m"
7.50322613180148e-08	0.561998581781207	0.774	0.625	0.00151099967842218	"Rabac1"	"endothelial cell"	"3m.vs.1m"
9.31008605474169e-08	0.606745004682755	0.735	0.586	0.00187486512970388	"Prr13"	"endothelial cell"	"3m.vs.1m"
1.03087684438028e-07	0.740238699948761	0.588	0.426	0.00207597978921301	"Pls3"	"endothelial cell"	"3m.vs.1m"
1.19450774891183e-07	0.844851284989014	0.314	0.146	0.00240549970475864	"Mrpl42"	"endothelial cell"	"3m.vs.1m"
1.22163252380095e-07	1.14175352458009	0.35	0.185	0.00246012357643035	"Psmb9"	"endothelial cell"	"3m.vs.1m"
1.38194813112318e-07	0.914584418980902	0.575	0.389	0.00278296714645586	"Lmcd1"	"endothelial cell"	"3m.vs.1m"
1.51533178517089e-07	0.583915694723245	0.814	0.689	0.00305157514897714	"Slc9a3r2"	"endothelial cell"	"3m.vs.1m"
1.57528102616396e-07	-0.468201830680369	0.969	0.979	0.00317230093048899	"H3f3a"	"endothelial cell"	"3m.vs.1m"
1.95815231407516e-07	-0.762341354493952	0.292	0.5	0.00394332713008456	"Nudt4"	"endothelial cell"	"3m.vs.1m"
2.03431106210571e-07	-0.532650142580719	0.681	0.802	0.00409669561686849	"Pabpc1"	"endothelial cell"	"3m.vs.1m"
2.66520791153231e-07	0.815099265001257	0.686	0.57	0.00536719569224376	"Cxcl12"	"endothelial cell"	"3m.vs.1m"
3.73198168989503e-07	-1.40042320857792	0.058	0.206	0.00751546472711061	"Zbtb16"	"endothelial cell"	"3m.vs.1m"
5.41276276534188e-07	-0.333245000975064	0.996	1	0.0109002216568455	"Fau"	"endothelial cell"	"3m.vs.1m"
5.68231844258331e-07	-1.98536514942888	0	0.103	0.0114430528796743	"Eif2s3y"	"endothelial cell"	"3m.vs.1m"
6.41925379986321e-07	-3.27032659389275	0.04	0.173	0.0129270933021645	"Tef"	"endothelial cell"	"3m.vs.1m"
6.60544761174137e-07	0.290261196129014	0.991	0.986	0.0133020504005248	"Calm1"	"endothelial cell"	"3m.vs.1m"
7.81349452933245e-07	0.414558318300593	0.199	0.076	0.0157348152831697	"H2-Aa"	"endothelial cell"	"3m.vs.1m"
8.97700639369417e-07	0.62374222403801	0.823	0.716	0.0180778954756213	"Ddx3x"	"endothelial cell"	"3m.vs.1m"
9.23622857894498e-07	0.524766543742555	0.779	0.648	0.0185999171122794	"Ndufa4"	"endothelial cell"	"3m.vs.1m"
9.8944780311039e-07	0.888770318700876	0.473	0.29	0.019925499859037	"Cxx1a"	"endothelial cell"	"3m.vs.1m"
1.00974555802354e-06	0.570441457322264	0.761	0.58	0.0203342560474781	"Myl12b"	"endothelial cell"	"3m.vs.1m"
1.11564340690021e-06	-0.669048269649762	0.509	0.673	0.0224668269281564	"Polr2l"	"endothelial cell"	"3m.vs.1m"
1.17385805119656e-06	-1.76961339160031	0.106	0.261	0.0236391534349963	"Arrdc3"	"endothelial cell"	"3m.vs.1m"
1.225128438725e-06	0.431158614107543	0.889	0.78	0.024671636499044	"Atp5b"	"endothelial cell"	"3m.vs.1m"
1.2587328575491e-06	0.854507344241824	0.301	0.15	0.0253483622853238	"Pla2g16"	"endothelial cell"	"3m.vs.1m"
1.3023887278928e-06	0.495381035248005	0.881	0.786	0.0262275042023053	"Cox6a1"	"endothelial cell"	"3m.vs.1m"
1.45325311881424e-06	0.526950773827826	0.699	0.545	0.0292656113066812	"Rap1a"	"endothelial cell"	"3m.vs.1m"
1.51728926246339e-06	-1.20700524856661	0.354	0.527	0.0305551711674877	"Pfkfb3"	"endothelial cell"	"3m.vs.1m"
1.64462252944936e-06	0.319217593679035	0.916	0.901	0.0331194084980511	"Ly6c1"	"endothelial cell"	"3m.vs.1m"
1.67764990493111e-06	0.662689751375168	0.376	0.206	0.0337845137855027	"Cyp4b1"	"endothelial cell"	"3m.vs.1m"
1.76347956623172e-06	-1.11182875985016	0.15	0.333	0.0355129515047743	"Spry1"	"endothelial cell"	"3m.vs.1m"
1.96482344475288e-06	0.456659766935844	0.858	0.784	0.0395676145304335	"Anxa2"	"endothelial cell"	"3m.vs.1m"
2.29819515797235e-06	0.774929975910099	0.398	0.239	0.0462810540912472	"Hbxip"	"endothelial cell"	"3m.vs.1m"
2.31049323740141e-06	-1.37628851930495	0.066	0.204	0.0465287128147896	"Fkbp5"	"endothelial cell"	"3m.vs.1m"
2.34056046392142e-06	1.15262179789757	0.243	0.111	0.0471342066224496	"Cox16"	"endothelial cell"	"3m.vs.1m"
1.8233613730569e-64	-0.994520657566977	0.11	0.667	3.67188513306198e-60	"Col1a2"	"endothelial cell"	"18m.vs.1m"
4.04136978595051e-62	-1.28925570786872	0.985	1	8.13851047494713e-58	"Malat1"	"endothelial cell"	"18m.vs.1m"
7.62717138636258e-47	-0.76506262190754	0.056	0.512	1.5359597737857e-42	"Col1a1"	"endothelial cell"	"18m.vs.1m"
2.1787216103403e-44	-0.753202784076193	0.1	0.562	4.38750957890331e-40	"Col3a1"	"endothelial cell"	"18m.vs.1m"
2.25041635575608e-44	-0.876005766267545	0.808	0.981	4.53188845722159e-40	"Sparc"	"endothelial cell"	"18m.vs.1m"
1.1881954548508e-41	-4.45992722143823	0.038	0.44	2.39278800697855e-37	"Dbp"	"endothelial cell"	"18m.vs.1m"
1.0377354053936e-39	0.896970992631219	0.954	0.732	2.08979155938164e-35	"S100a6"	"endothelial cell"	"18m.vs.1m"
3.58974419282444e-36	1.1409745870917	0.397	0.064	7.22902685550986e-32	"Plac9"	"endothelial cell"	"18m.vs.1m"
2.0713007301887e-30	1.42545254838138	0.236	0.002	4.171185410454e-26	"Xist"	"endothelial cell"	"18m.vs.1m"
7.55404470156481e-23	1.09220865026418	0.764	0.496	1.52123352200112e-18	"Aldh2"	"endothelial cell"	"18m.vs.1m"
2.95779943903893e-22	-1.67872281485526	0.192	0.506	5.9564165103366e-18	"Rnf125"	"endothelial cell"	"18m.vs.1m"
5.52319585103633e-21	-1.04488017203248	0.477	0.749	1.1122611804817e-16	"Ppic"	"endothelial cell"	"18m.vs.1m"
2.46585341617424e-20	-1.2476160989968	0.264	0.547	4.96573560949169e-16	"Pim1"	"endothelial cell"	"18m.vs.1m"
3.81265381169567e-20	-0.823691394350634	0.533	0.79	7.67792224599275e-16	"Klf9"	"endothelial cell"	"18m.vs.1m"
6.10444230178269e-19	0.713729170762971	0.877	0.858	1.229312590733e-14	"Cd36"	"endothelial cell"	"18m.vs.1m"
2.07734138473627e-18	1.05988678478308	0.426	0.169	4.18335008058189e-14	"Lgals3"	"endothelial cell"	"18m.vs.1m"
2.68361840950602e-18	0.559338854567287	0.972	0.924	5.40427075306323e-14	"H2-K1"	"endothelial cell"	"18m.vs.1m"
3.60355245558948e-17	0.923656027555461	0.997	0.996	7.2568339350661e-13	"Rplp1"	"endothelial cell"	"18m.vs.1m"
7.48471032369623e-17	-0.881116629029098	0.628	0.798	1.50727096498595e-12	"Col4a1"	"endothelial cell"	"18m.vs.1m"
1.57320729648084e-16	-1.35037906533583	0.159	0.418	3.16812485365312e-12	"Wasf2"	"endothelial cell"	"18m.vs.1m"
3.03333401334395e-16	0.808373748693048	0.767	0.605	6.10852803607205e-12	"Tspo"	"endothelial cell"	"18m.vs.1m"
7.09768398784715e-16	-0.973463938711724	0.369	0.634	1.42933160147266e-11	"Luzp1"	"endothelial cell"	"18m.vs.1m"
2.04305802262654e-15	-1.00143340806861	0.369	0.615	4.11431024596534e-11	"Arid5b"	"endothelial cell"	"18m.vs.1m"
2.510879073347e-15	-1.16163488415204	0.159	0.397	5.05640827790618e-11	"Zbtb20"	"endothelial cell"	"18m.vs.1m"
1.89676182963144e-14	0.853096200559591	0.977	0.986	3.81969897251179e-10	"Rps12"	"endothelial cell"	"18m.vs.1m"
3.19343949494492e-14	-0.858284299532995	0.403	0.642	6.43094845492008e-10	"Rrbp1"	"endothelial cell"	"18m.vs.1m"
3.21207349708546e-14	-0.700244861876286	0.597	0.788	6.4684736084307e-10	"Ccnl1"	"endothelial cell"	"18m.vs.1m"
3.5995799539817e-14	1.5211449698933	0.385	0.175	7.24883411132835e-10	"Sncg"	"endothelial cell"	"18m.vs.1m"
4.52114479621362e-14	-1.17556754636937	0.136	0.356	9.10468139061498e-10	"Ddx3y"	"endothelial cell"	"18m.vs.1m"
6.21358415069142e-14	0.768121066929101	0.731	0.586	1.25129157626624e-09	"Prr13"	"endothelial cell"	"18m.vs.1m"
3.34083519572567e-13	-1.88301739890376	0.072	0.255	6.72777391715236e-09	"Nr1d1"	"endothelial cell"	"18m.vs.1m"
4.40855209315377e-13	-0.682856505617261	0.679	0.829	8.87794220519306e-09	"Akap2"	"endothelial cell"	"18m.vs.1m"
5.87217516583412e-13	-2.07264712380926	0.069	0.255	1.18253863489567e-08	"Nr1d2"	"endothelial cell"	"18m.vs.1m"
9.03150795576846e-13	0.382277571411076	0.985	0.967	1.81876507213265e-08	"Ly6e"	"endothelial cell"	"18m.vs.1m"
1.03592730884142e-12	-0.704691253374268	0.59	0.749	2.08615041454486e-08	"Tcf4"	"endothelial cell"	"18m.vs.1m"
1.24418910595752e-12	0.725578529957308	0.974	0.944	2.50554802157725e-08	"Rps28"	"endothelial cell"	"18m.vs.1m"
1.68078829085686e-12	0.843874124551157	0.995	0.981	3.38477146012754e-08	"Rps21"	"endothelial cell"	"18m.vs.1m"
2.42576797274301e-12	-0.816682433361927	0.19	0.412	4.88501154350988e-08	"Prrc2c"	"endothelial cell"	"18m.vs.1m"
2.58124469803918e-12	0.957589752221792	0.446	0.255	5.1981105729113e-08	"Capg"	"endothelial cell"	"18m.vs.1m"
2.93106161571226e-12	-0.932851417900006	0.344	0.572	5.90257188172134e-08	"Ctnnbip1"	"endothelial cell"	"18m.vs.1m"
6.58140490875801e-12	0.749227378132254	0.762	0.625	1.32536332052569e-07	"Rabac1"	"endothelial cell"	"18m.vs.1m"
7.10938878738538e-12	0.531037916470458	0.982	0.967	1.43168871400367e-07	"Rpl38"	"endothelial cell"	"18m.vs.1m"
9.22970744955496e-12	1.00624448103903	0.477	0.263	1.85867848619138e-07	"Plscr1"	"endothelial cell"	"18m.vs.1m"
1.10867280842583e-11	-0.569704535054816	0.844	0.947	2.23264530160793e-07	"Tpm3"	"endothelial cell"	"18m.vs.1m"
1.31828259394996e-11	0.801405698056007	0.759	0.642	2.65475748769642e-07	"Ctsd"	"endothelial cell"	"18m.vs.1m"
1.32974029203584e-11	-0.916681350011253	0.249	0.461	2.67783100010178e-07	"Atp2b1"	"endothelial cell"	"18m.vs.1m"
1.34095920088325e-11	1.02593539863442	0.633	0.469	2.70042363873869e-07	"Gngt2"	"endothelial cell"	"18m.vs.1m"
1.59618440661147e-11	-1.63915321306657	0.182	0.383	3.21439615803418e-07	"Trp53i11"	"endothelial cell"	"18m.vs.1m"
1.89195373559964e-11	-0.31600890442159	0.149	0.358	3.81001643275055e-07	"Serpinf1"	"endothelial cell"	"18m.vs.1m"
2.08515874681722e-11	0.463314856475473	0.933	0.858	4.19909268434052e-07	"Crip1"	"endothelial cell"	"18m.vs.1m"
2.48072629998469e-11	1.47143229129506	0.469	0.27	4.99568662290916e-07	"Stmn2"	"endothelial cell"	"18m.vs.1m"
3.63002109103772e-11	-0.580781732376777	0.672	0.817	7.31013647313176e-07	"Ifrd1"	"endothelial cell"	"18m.vs.1m"
3.93629300871279e-11	1.03313102693305	0.479	0.272	7.92690686094582e-07	"Clu"	"endothelial cell"	"18m.vs.1m"
5.70899686138970e-11	-0.484228243536841	0.718	0.852	1.14967778794666e-06	"Klf6"	"endothelial cell"	"18m.vs.1m"
5.91200615535645e-11	0.44963322130375	0.91	0.866	1.19055979956568e-06	"Ly6a"	"endothelial cell"	"18m.vs.1m"
6.34880265732746e-11	2.02108800245465	0.538	0.414	1.2785218791326e-06	"Timp4"	"endothelial cell"	"18m.vs.1m"
6.83063323281516e-11	-0.820351896411265	0.556	0.71	1.37555292042432e-06	"Flt1"	"endothelial cell"	"18m.vs.1m"
7.39480033227967e-11	0.665941687100995	0.656	0.488	1.48916489091448e-06	"Fxyd5"	"endothelial cell"	"18m.vs.1m"
8.52824260430189e-11	-0.61040522072762	0.415	0.644	1.71741749565432e-06	"Sf3b1"	"endothelial cell"	"18m.vs.1m"
1.07335241816781e-10	1.24404348478468	0.226	0.074	2.16151709970634e-06	"Cytl1"	"endothelial cell"	"18m.vs.1m"
1.18990835658662e-10	-1.90045024878406	0.095	0.261	2.39623744849414e-06	"Arrdc3"	"endothelial cell"	"18m.vs.1m"
1.88589853123284e-10	-0.411106067023296	0.926	0.977	3.79782246219669e-06	"Serinc3"	"endothelial cell"	"18m.vs.1m"
1.97244051891544e-10	0.754874020590882	0.682	0.535	3.97210071699192e-06	"Adam15"	"endothelial cell"	"18m.vs.1m"
2.02014155836136e-10	-1.20686031250361	0.287	0.488	4.06816107022811e-06	"Tmcc3"	"endothelial cell"	"18m.vs.1m"
2.29400821732362e-10	0.665127991565423	0.9	0.899	4.6196737480463e-06	"Rpl12"	"endothelial cell"	"18m.vs.1m"
2.42933754593754e-10	-0.36577070859705	0.026	0.152	4.89219995000902e-06	"Col6a1"	"endothelial cell"	"18m.vs.1m"
3.36449431258545e-10	-0.873032003475761	0.392	0.58	6.77541864668458e-06	"Tspan4"	"endothelial cell"	"18m.vs.1m"
3.59829235104094e-10	-1.80565652234251	0.064	0.216	7.24624113652625e-06	"Sox4"	"endothelial cell"	"18m.vs.1m"
3.60722623278155e-10	-0.668443564824121	0.405	0.609	7.26423218757549e-06	"Mbnl2"	"endothelial cell"	"18m.vs.1m"
4.26793728519274e-10	0.864574739476077	0.151	0.035	8.59477210492114e-06	"S100a9"	"endothelial cell"	"18m.vs.1m"
4.44094697907862e-10	-1.47014540342062	0.126	0.3	8.94317902646852e-06	"Pcdh17"	"endothelial cell"	"18m.vs.1m"
5.60287594822318e-10	-1.17638234198536	0.19	0.374	1.12830715845318e-05	"Klf3"	"endothelial cell"	"18m.vs.1m"
5.81740869105522e-10	0.357360668375644	0.992	0.992	1.1715097622047e-05	"H2-D1"	"endothelial cell"	"18m.vs.1m"
8.42145059796312e-10	0.539742112362598	0.136	0.027	1.69591172141781e-05	"Mnda"	"endothelial cell"	"18m.vs.1m"
9.31667987044977e-10	-0.345443801127915	0.951	0.979	1.87619299231118e-05	"H3f3a"	"endothelial cell"	"18m.vs.1m"
1.17667693279679e-09	-0.725739361538169	0.392	0.597	2.36959200726617e-05	"Elf1"	"endothelial cell"	"18m.vs.1m"
1.37270702973503e-09	-0.900005230226791	0.105	0.272	2.7643574164804e-05	"Ankrd11"	"endothelial cell"	"18m.vs.1m"
1.65242255126109e-09	-0.55003963637421	0.597	0.761	3.32764853372958e-05	"Eif5"	"endothelial cell"	"18m.vs.1m"
2.46884204366933e-09	-0.642037262948088	0.495	0.667	4.9717541075413e-05	"Top1"	"endothelial cell"	"18m.vs.1m"
2.51291162304138e-09	-0.906077562599761	0.172	0.352	5.06050142648073e-05	"Ankrd12"	"endothelial cell"	"18m.vs.1m"
4.13120464278521e-09	-0.75040001530903	0.236	0.422	8.31941990964086e-05	"Mef2c"	"endothelial cell"	"18m.vs.1m"
4.16986228993879e-09	0.544109971488762	0.667	0.516	8.39726867947874e-05	"Pkm2"	"endothelial cell"	"18m.vs.1m"
4.53845967300806e-09	0.379005217228224	1	1	9.13955008950363e-05	"B2m"	"endothelial cell"	"18m.vs.1m"
5.12323136052994e-09	-2.86825850487641	0.054	0.185	0.000103171633138352	"BC028528"	"endothelial cell"	"18m.vs.1m"
5.35143218317785e-09	-0.80399158589132	0.526	0.663	0.000107767141304836	"Fam43a"	"endothelial cell"	"18m.vs.1m"
5.39582445388015e-09	-0.424635630035926	0.854	0.934	0.000108661112852238	"Btg1"	"endothelial cell"	"18m.vs.1m"
5.65942509708433e-09	-1.48825217296869	0.054	0.187	0.000113969502605084	"Arhgap5"	"endothelial cell"	"18m.vs.1m"
6.55813126465882e-09	-0.343655956045436	0.031	0.146	0.000132067647407699	"Meg3"	"endothelial cell"	"18m.vs.1m"
7.00584868016817e-09	-1.15878465033129	0.331	0.527	0.000141083780721227	"Pfkfb3"	"endothelial cell"	"18m.vs.1m"
8.00819394165168e-09	-0.603613504309317	0.482	0.677	0.000161269009596982	"Ppp1cc"	"endothelial cell"	"18m.vs.1m"
8.44894330438628e-09	-0.536886120629295	0.544	0.716	0.000170144820263731	"D4Wsu53e"	"endothelial cell"	"18m.vs.1m"
9.22790212858107e-09	-0.592840352266671	0.579	0.741	0.000185831493065366	"Kdm6b"	"endothelial cell"	"18m.vs.1m"
9.63007222088522e-09	0.521400499595873	0.874	0.831	0.000193930394384187	"Eng"	"endothelial cell"	"18m.vs.1m"
1.0523122272319e-08	-0.710403187432065	0.518	0.679	0.00021191463631996	"Arhgap31"	"endothelial cell"	"18m.vs.1m"
1.0643277528065e-08	-0.440471648048459	0.982	0.994	0.000214334322860173	"Ubb"	"endothelial cell"	"18m.vs.1m"
1.16519556782395e-08	-0.959287532190854	0.108	0.265	0.000234647083448386	"Zswim6"	"endothelial cell"	"18m.vs.1m"
1.33117118515254e-08	-1.47408811077506	0.092	0.239	0.000268071253266018	"Mef2a"	"endothelial cell"	"18m.vs.1m"
1.33541768063663e-08	-1.53074367577863	0.246	0.424	0.000268926412526604	"Eln"	"endothelial cell"	"18m.vs.1m"
1.34577081184961e-08	0.477311812431747	0.992	0.996	0.000271011326090274	"Rpl35"	"endothelial cell"	"18m.vs.1m"
1.34596410562954e-08	-0.57697897824332	0.405	0.599	0.000271050251591676	"Csnk1a1"	"endothelial cell"	"18m.vs.1m"
2.15950111928001e-08	-3.93243118623353	0.026	0.13	0.000434880335400608	"Chst1"	"endothelial cell"	"18m.vs.1m"
2.18787334191683e-08	-1.51491366769044	0.021	0.121	0.00044059393359521	"C1qtnf6"	"endothelial cell"	"18m.vs.1m"
2.21769567113089e-08	-0.495542204548956	0.49	0.683	0.000446599554252338	"Ncl"	"endothelial cell"	"18m.vs.1m"
2.23975817326718e-08	-1.28649259165769	0.028	0.136	0.000451042500932544	"Vash1"	"endothelial cell"	"18m.vs.1m"
2.39298746263619e-08	-2.58916820052442	0.051	0.173	0.000481899815225676	"Tef"	"endothelial cell"	"18m.vs.1m"
2.42949438094314e-08	-0.388308939942392	0.792	0.854	0.000489251578434329	"Sparcl1"	"endothelial cell"	"18m.vs.1m"
2.73310348127112e-08	-0.349204377191956	1	1	0.000550392379058377	"Ptma"	"endothelial cell"	"18m.vs.1m"
3.2879526158865e-08	-1.21211944733986	0.074	0.206	0.000662127897787223	"Zbtb16"	"endothelial cell"	"18m.vs.1m"
3.30786887966161e-08	-0.530399330099591	0.638	0.78	0.000666138634986255	"Mat2a"	"endothelial cell"	"18m.vs.1m"
3.37572378739916e-08	-0.541631115516	0.738	0.84	0.000679803256306443	"H2-Q4"	"endothelial cell"	"18m.vs.1m"
3.85280894060402e-08	-1.53625414175475	0.138	0.292	0.000775878664458837	"Ednrb"	"endothelial cell"	"18m.vs.1m"
3.89916707885157e-08	0.505888983421297	0.997	0.998	0.00078521426633913	"Fth1"	"endothelial cell"	"18m.vs.1m"
4.60227180294885e-08	-0.632553494022998	0.459	0.65	0.000926805495677839	"Unc45b"	"endothelial cell"	"18m.vs.1m"
4.62303789801209e-08	0.883063047691874	0.541	0.395	0.000930987371901674	"Rras"	"endothelial cell"	"18m.vs.1m"
5.36306345212534e-08	1.35930652231933	0.128	0.033	0.001080013717989	"Cadm3"	"endothelial cell"	"18m.vs.1m"
5.42257731627866e-08	0.553306612310073	0.979	0.982	0.0010919986199522	"Rpl39"	"endothelial cell"	"18m.vs.1m"
5.81826887448164e-08	1.0728727504928	0.3	0.161	0.00117168298594311	"Rpl34-ps1"	"endothelial cell"	"18m.vs.1m"
6.48175356637069e-08	-0.55688968435095	0.979	0.982	0.00130529553319573	"Hsp90ab1"	"endothelial cell"	"18m.vs.1m"
7.37015763201898e-08	-0.537326031607835	0.385	0.566	0.00148420234393598	"Lrrc58"	"endothelial cell"	"18m.vs.1m"
8.50041558231414e-08	-0.503972069641825	0.546	0.732	0.00171181368996642	"Rbm39"	"endothelial cell"	"18m.vs.1m"
8.58416423605665e-08	-0.771187385806806	0.018	0.111	0.00172867899385709	"Mmp14"	"endothelial cell"	"18m.vs.1m"
8.62225911834443e-08	-0.784103166237412	0.19	0.346	0.0017363505412522	"Gadd45a"	"endothelial cell"	"18m.vs.1m"
9.47926042261755e-08	-0.487796374242923	0.431	0.607	0.00190893346390672	"Mafk"	"endothelial cell"	"18m.vs.1m"
9.54030547556649e-08	1.04092884644535	0.536	0.395	0.00192122671666958	"Abcg2"	"endothelial cell"	"18m.vs.1m"
1.01514571245657e-07	-0.757318578185671	0.123	0.272	0.00204430043574504	"Ash1l"	"endothelial cell"	"18m.vs.1m"
1.04518135596979e-07	-0.55290902484333	0.61	0.696	0.00210478621465197	"Col4a2"	"endothelial cell"	"18m.vs.1m"
1.05393920891577e-07	0.993845005091682	0.277	0.15	0.00212242277891458	"Erdr1"	"endothelial cell"	"18m.vs.1m"
1.06607737770349e-07	-0.640303253587978	0.246	0.42	0.00214686662321928	"Rbm25"	"endothelial cell"	"18m.vs.1m"
1.09141903869876e-07	0.428215811771458	0.782	0.663	0.00219789966013157	"Capns1"	"endothelial cell"	"18m.vs.1m"
1.1198802856599e-07	-1.97542882865266	0.072	0.196	0.00225521491926191	"Dach1"	"endothelial cell"	"18m.vs.1m"
1.29127495308442e-07	-0.562497599547453	0.456	0.623	0.00260036950052141	"Myadm"	"endothelial cell"	"18m.vs.1m"
1.333306391771e-07	1.5716921648913	0.315	0.173	0.00268501241174845	"Vcam1"	"endothelial cell"	"18m.vs.1m"
1.54225161720162e-07	0.593391150555965	0.754	0.667	0.00310578630672062	"Hint1"	"endothelial cell"	"18m.vs.1m"
